2539,Clean & quiet apt home by the park,Kensington,Private room,149,9,0.21
2595,Skylit Midtown Castle,Midtown,Entire home/apt,225,45,0.38
3647,THE VILLAGE OF HARLEM....NEW YORK !,Harlem,Private room,150,0,0
3831,Cozy Entire Floor of Brownstone,Clinton Hill,Entire home/apt,89,270,4.64
5022,Entire Apt: Spacious Studio/Loft by central park,East Harlem,Entire home/apt,80,9,0.1
5099,Large Cozy 1 BR Apartment In Midtown East,Murray Hill,Entire home/apt,200,74,0.59
5121,BlissArtsSpace!,Bedford-Stuyvesant,Private room,60,49,0.4
5178,Large Furnished Room Near B'way ,Hell's Kitchen,Private room,79,430,3.47
5203,Cozy Clean Guest Room - Family Apt,Upper West Side,Private room,79,118,0.99
5238,Cute & Cozy Lower East Side 1 bdrm,Chinatown,Entire home/apt,150,160,1.33
5295,Beautiful 1br on Upper West Side,Upper West Side,Entire home/apt,135,53,0.43
5441,Central Manhattan/near Broadway,Hell's Kitchen,Private room,85,188,1.5
5803,"Lovely Room 1, Garden, Best Area, Legal rental",South Slope,Private room,89,167,1.34
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,Upper West Side,Private room,85,113,0.91
6090,West Village Nest - Superhost,West Village,Entire home/apt,120,27,0.22
6848,Only 2 stops to Manhattan studio,Williamsburg,Entire home/apt,140,148,1.2
7097,Perfect for Your Parents + Garden,Fort Greene,Entire home/apt,215,198,1.72
7322,Chelsea Perfect,Chelsea,Private room,140,260,2.12
7726,Hip Historic Brownstone Apartment with Backyard,Crown Heights,Entire home/apt,99,53,4.44
7750,Huge 2 BR Upper East  Cental Park,East Harlem,Entire home/apt,190,0,0
7801,Sweet and Spacious Brooklyn Loft,Williamsburg,Entire home/apt,299,9,0.07
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,Park Slope,Private room,130,130,1.09
8025,CBG Helps Haiti Room#2.5,Park Slope,Private room,80,39,0.37
8110,CBG Helps Haiti Rm #2,Park Slope,Private room,110,71,0.61
8490,"MAISON DES SIRENES1,bohemian apartment",Bedford-Stuyvesant,Entire home/apt,120,88,0.73
8505,Sunny Bedroom Across Prospect Park,Windsor Terrace,Private room,60,19,1.37
8700,Magnifique Suite au N de Manhattan - vue Cloitres,Inwood,Private room,80,0,0
9357,Midtown Pied-a-terre,Hell's Kitchen,Entire home/apt,150,58,0.49
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Inwood,Private room,44,108,1.11
9657,Modern 1 BR / NYC / EAST VILLAGE,East Village,Entire home/apt,180,29,0.24
9668,front room/double bed,Harlem,Private room,50,242,2.04
9704,Spacious 1 bedroom in luxe building,Harlem,Private room,52,88,1.42
9782,Loft in Williamsburg Area w/ Roof,Greenpoint,Private room,55,197,1.65
9783,back room/bunk beds,Harlem,Private room,50,273,2.37
10452,Large B&B Style rooms,Bedford-Stuyvesant,Private room,70,74,0.66
10962,"Lovely room 2 & garden; Best area, Legal rental",South Slope,Private room,89,168,1.41
11452,Clean and Quiet in Brooklyn,Bedford-Stuyvesant,Private room,35,0,0
11708,Cute apt in artist's home,Bushwick,Entire home/apt,85,231,1.96
11943,Country space in the city,Flatbush,Private room,150,0,0
12048,LowerEastSide apt share shortterm 1,Lower East Side,Shared room,40,214,1.81
12192,ENJOY Downtown NYC!,East Village,Private room,68,245,2.08
12299,Beautiful Sunny Park Slope Brooklyn,South Slope,Entire home/apt,120,15,0.39
12303,1bdr w private bath. in lofty apt,Fort Greene,Private room,120,25,0.23
