2539,40.64749,-73.97237
2595,40.75362,-73.98377
3647,40.80902,-73.9419
3831,40.68514,-73.95976
5022,40.79851,-73.94399
5099,40.74767,-73.975
5121,40.68688,-73.95596
5178,40.76489,-73.98493
5203,40.80178,-73.96723
5238,40.71344,-73.99037
5295,40.80316,-73.96545
5441,40.76076,-73.98867
5803,40.66829,-73.98779
6021,40.79826,-73.96113
6090,40.7353,-74.00525
6848,40.70837,-73.95352
7097,40.69169,-73.97185
7322,40.74192,-73.99501
7726,40.67592,-73.94694
7750,40.79685,-73.94872
7801,40.71842,-73.95718
8024,40.68069,-73.97706
8025,40.67989,-73.97798
8110,40.68001,-73.97865
8490,40.68371,-73.94028
8505,40.65599,-73.97519
8700,40.86754,-73.92639
9357,40.76715,-73.98533
9518,40.86482,-73.92106
9657,40.7292,-73.98542
9668,40.82245,-73.95104
9704,40.81305,-73.95466
9782,40.72219,-73.93762
9783,40.8213,-73.95318
10452,40.6831,-73.95473
10962,40.66869,-73.9878
11452,40.68876,-73.94312
11708,40.70186,-73.92745
11943,40.63702,-73.96327
12048,40.71401,-73.98917
12192,40.7229,-73.98199
12299,40.66278,-73.97966
12303,40.69673,-73.97584
12318,40.79009,-73.97927
12343,40.81175,-73.94478
12627,40.65944,-73.96238
12937,40.74771,-73.9474
12940,40.68111,-73.95591
13050,40.68554,-73.9409
13394,40.69142,-73.97376
13808,40.68043,-73.93934
14287,40.78635,-73.97008
14290,40.7042,-73.9356
14314,40.73506,-73.95392
14322,40.73961,-73.98074
14377,40.70881,-73.9593
14991,40.72004,-73.99104
15220,40.75531,-73.99293
15338,40.72401,-73.93788
15341,40.7221,-73.99775
15385,40.71185,-73.96204
15396,40.74623,-73.9953
15711,40.77065,-73.95269
16326,40.67811,-73.96428
16338,40.69,-73.96788
16421,40.75979,-73.99119
16458,40.67343,-73.98338
16580,40.72649,-73.97904
16595,40.70933,-73.96792
16821,40.72298,-73.98474
16974,40.80164,-73.93922
17037,40.72162,-73.98008
17092,40.76342,-73.98865
17693,40.83139,-73.94095
17747,40.68346,-73.96374
18127,40.72828,-73.98801
18152,40.76865,-73.95058
18198,40.75038,-73.90334
18590,40.6932,-73.97267
18728,40.74138,-74.00197
18764,40.71154,-73.96112
19159,40.82915,-73.95136
19169,40.71851,-73.98892
19282,40.65401,-73.96323
19319,40.7114,-73.98794
19601,40.69723,-73.99268
19812,40.71833,-73.95748
20299,40.72334,-73.9844
